,strike,lastPrice,impliedVolatility,side,expiry,T
0,410.0,1.34,0.3364324169921875,Call,2026-03-02,0.008
1,415.0,0.56,0.34180345703125,Call,2026-03-02,0.008
2,420.0,0.22,0.348639326171875,Call,2026-03-02,0.008
3,430.0,0.03,0.38281867187499996,Call,2026-03-02,0.008
4,385.0,0.52,0.44922425781249997,Put,2026-03-02,0.008
5,390.0,0.91,0.4118711157226562,Put,2026-03-02,0.008
6,392.5,1.22,0.39600213378906257,Put,2026-03-02,0.008
7,395.0,1.58,0.3813538427734374,Put,2026-03-02,0.008
8,400.0,3.05,0.35767243896484374,Put,2026-03-02,0.008
9,410.0,3.59,0.387701435546875,Call,2026-03-04,0.016
10,420.0,1.25,0.3869690209960937,Call,2026-03-04,0.016
11,430.0,0.43,0.40064075927734377,Call,2026-03-04,0.016
12,410.0,5.25,0.41040628662109374,Call,2026-03-06,0.024
13,415.0,3.6,0.40515731567382807,Call,2026-03-06,0.024
14,417.5,2.98,0.40381455566406255,Call,2026-03-06,0.024
15,420.0,2.41,0.4023497265625,Call,2026-03-06,0.024
16,425.0,1.65,0.40296007202148443,Call,2026-03-06,0.024
17,430.0,1.05,0.4067442138671875,Call,2026-03-06,0.024
18,432.5,0.82,0.4094297338867187,Call,2026-03-06,0.024
19,435.0,0.7,0.4128476684570312,Call,2026-03-06,0.024
20,440.0,0.47,0.4211483666992188,Call,2026-03-06,0.024
21,370.0,1.38,0.5314988256835937,Put,2026-03-06,0.024
22,375.0,1.78,0.5079394909667969,Put,2026-03-06,0.024
23,380.0,2.3,0.48730981445312505,Put,2026-03-06,0.024
24,385.0,3.08,0.4683891052246094,Put,2026-03-06,0.024
25,390.0,4.14,0.450200810546875,Put,2026-03-06,0.024
26,400.0,7.35,0.42139250488281255,Put,2026-03-06,0.024
27,410.0,12.5,0.4057676611328125,Put,2026-03-06,0.024
28,420.0,19.59,0.40039662109375,Put,2026-03-06,0.024
29,430.0,28.25,0.532231240234375,Put,2026-03-06,0.024
